sample_name	condition
SRR900226	Aguas Calientes
SRR901032	Aguas Calientes
SRR901079	Aguas Calientes
SRR901080	Aguas Calientes
SRR901081	Aguas Calientes
SRR901082	Aguas Calientes
SRR901083	Altamira
SRR901084	Altamira
SRR901085	Altamira
SRR901086	Altamira
SRR901087	Altamira
SRR901088	Altamira
SRR901089	Altamira
SRR901090	Altamira
SRR901091	Altamira
SRR901092	Andrew Garden
SRR901093	Andrew Garden
SRR901094	Andrew Garden
SRR901095	Andrew Garden
SRR901096	Andrew Garden
SRR901097	Andrew Garden
SRR901098	Andrew Garden
SRR901099	Andrew Garden
SRR901100	Andrew Garden
SRR901101	Andrew Garden
SRR901102	Andrew Garden
SRR901103	Bea Hill
SRR901104	Bea Hill
SRR901105	Bea Hill
SRR901106	Bea Hill
SRR901107	Bea Hill
SRR901108	Bea Hill
SRR901109	Bea Hill
SRR901110	Bea Hill
SRR901111	Bea Hill
SRR901112	Bea Hill
SRR901113	Bea Hill
SRR901114	Bea Hill
SRR901115	Bea Hill
SRR901116	Bea Hill
SRR901117	Bea Hill
SRR901118	Bea Hill
SRR901119	Chanaral
SRR901120	Chanaral
SRR901121	Chanaral
SRR901122	Chanaral
SRR901123	Chanaral
SRR901124	Chanaral
SRR901125	Chanaral
SRR901126	Chanaral
SRR901127	Chanaral
SRR901128	Kevin Garden
SRR901129	Kevin Garden
SRR901130	Kevin Garden
SRR901131	Kevin Garden
SRR901132	Kevin Garden
SRR901133	Kevin Garden
SRR901134	Kevin Garden
SRR901135	Kevin Garden
SRR901136	Kevin Garden
SRR901137	Kevin Garden
SRR901138	Kevin Garden
SRR901139	Kevin Garden
SRR901140	Kevin Garden
SRR901141	Kevin Garden
SRR901142	Kevin Garden
SRR901143	Kevin Garden
SRR901144	Bea Hill
